user_id,channel_id,click_datetime
1,3,2023-10-05 00:00:00
1,5,2023-10-18 00:00:00
1,7,2023-10-23 00:00:00
1,3,2023-10-20 00:00:00
1,3,2023-10-08 00:00:00
1,5,2023-10-01 00:00:00
1,3,2023-10-19 00:00:00
2,4,2023-10-14 00:00:00
2,6,2023-09-16 00:00:00
2,4,2023-10-05 00:00:00
2,1,2023-09-26 00:00:00
2,2,2023-10-06 00:00:00
3,1,2023-09-09 00:00:00
3,3,2023-09-19 00:00:00
3,7,2023-09-02 00:00:00
3,4,2023-09-20 00:00:00
3,7,2023-09-22 00:00:00
4,6,2023-07-12 00:00:00
4,4,2023-07-16 00:00:00
4,4,2023-07-18 00:00:00
4,3,2023-06-28 00:00:00
4,3,2023-06-30 00:00:00
4,5,2023-07-02 00:00:00
5,4,2023-10-25 00:00:00
5,4,2023-10-14 00:00:00
5,2,2023-10-26 00:00:00
5,1,2023-10-26 00:00:00
5,5,2023-10-02 00:00:00
5,4,2023-10-28 00:00:00
5,7,2023-10-28 00:00:00
6,7,2023-09-23 00:00:00
6,6,2023-10-07 00:00:00
6,4,2023-10-08 00:00:00
6,4,2023-09-22 00:00:00
6,6,2023-09-26 00:00:00
6,6,2023-09-30 00:00:00
6,4,2023-10-12 00:00:00
7,2,2023-08-04 00:00:00
7,4,2023-07-11 00:00:00
7,2,2023-08-08 00:00:00
7,4,2023-07-23 00:00:00
7,7,2023-07-25 00:00:00
8,4,2023-08-27 00:00:00
8,6,2023-08-10 00:00:00
8,5,2023-08-18 00:00:00
8,5,2023-08-20 00:00:00
8,7,2023-08-23 00:00:00
8,2,2023-08-27 00:00:00
8,4,2023-08-30 00:00:00
9,5,2023-02-24 00:00:00
9,5,2023-02-10 00:00:00
9,1,2023-02-16 00:00:00
9,1,2023-03-05 00:00:00
10,7,2023-05-26 00:00:00
11,3,2023-03-24 00:00:00
11,1,2023-04-17 00:00:00
11,5,2023-03-31 00:00:00
12,4,2023-02-16 00:00:00
12,1,2023-02-17 00:00:00
12,4,2023-02-11 00:00:00
12,1,2023-02-25 00:00:00
12,7,2023-03-04 00:00:00
12,6,2023-03-05 00:00:00
12,5,2023-02-12 00:00:00
13,3,2023-08-04 00:00:00
13,1,2023-08-04 00:00:00
