sale_id,user_id,sale_datetime,revenue,is_financed,apr,has_trade_in,delivery_distance
1,441,2023-09-10 00:00:00,55852.73,1,0.1014,1,6
2,81,2023-07-28 00:00:00,32225.94,1,0.1454,0,388
3,44,2023-04-03 00:00:00,46156.15,0,0.1223,0,133
4,265,2023-07-23 00:00:00,52166.3,0,0.0641,1,395
5,255,2023-11-05 00:00:00,17841.31,0,0.1256,0,379
6,1,2023-08-23 00:00:00,21777.36,1,,0,26
7,466,2023-04-11 00:00:00,33685.84,1,,0,320
8,24,2023-05-31 00:00:00,53615.42,1,0.1388,0,236
9,381,2023-10-13 00:00:00,55543.24,1,0.0504,1,335
10,285,2023-08-01 00:00:00,46807.7,1,,1,144
11,159,2023-05-02 00:00:00,51299.93,1,,0,167
12,142,2023-06-23 00:00:00,28681.36,0,,1,463
13,360,2023-08-06 00:00:00,53213.06,1,0.0744,1,295
14,400,2023-04-27 00:00:00,15647.17,1,0.1177,1,420
15,216,2023-08-02 00:00:00,52670.38,0,,0,212
16,101,2023-08-16 00:00:00,53899.5,1,0.0476,0,387
17,287,2023-02-19 00:00:00,34903.22,1,,0,280
18,10,2023-03-20 00:00:00,41858.33,1,0.0809,1,201
19,330,2023-08-10 00:00:00,24523.62,0,0.0944,1,117
20,241,2023-07-20 00:00:00,47179.51,0,0.1444,0,406
21,105,2023-07-05 00:00:00,45488.92,1,,0,281
22,99,2023-06-13 00:00:00,17447.58,0,0.1114,1,410
23,242,2023-04-05 00:00:00,51461.64,0,,1,410
24,234,2023-09-02 00:00:00,41087.68,0,0.0587,1,438
25,156,2023-05-23 00:00:00,16123.48,0,0.1322,1,24
26,461,2023-09-10 00:00:00,55959.59,1,0.0842,0,326
27,359,2023-09-18 00:00:00,43915.99,1,0.1052,1,303
28,183,2023-06-30 00:00:00,46618.81,0,0.0493,1,344
29,397,2023-05-27 00:00:00,26082.87,1,0.0632,0,447
30,268,2023-09-27 00:00:00,45755.42,0,0.0715,0,77
31,354,2023-07-29 00:00:00,16351.17,1,0.1063,0,268
32,198,2023-08-26 00:00:00,53132.46,1,,1,235
33,269,2023-05-30 00:00:00,32818.27,0,0.1432,0,498
34,60,2023-02-11 00:00:00,50523.42,0,,1,255
35,316,2023-11-03 00:00:00,17485.01,1,,1,275
36,70,2023-04-25 00:00:00,58788.46,1,,1,300
37,175,2023-09-24 00:00:00,27526.58,1,,1,396
38,311,2023-05-04 00:00:00,25462.77,1,0.0802,1,129
39,34,2023-02-13 00:00:00,17815.42,0,,1,227
